URL,Ignored (Yes/No),Tag status
www.avito.ma/fr/autre_secteur/meubles_et_décoration/Table_et_chaise_pour_le_jardin_53362556.htm,No,Not tagged
www.avito.ma/adminapp/stores/2822/details,No,Not tagged
www.avito.ma/fr/sidi_rahal_chatai/locations_de_vacances/appt_pour_vacances_à_sidi_rahhal__50456959.htm,No,Not tagged
www.avito.ma/fr/maroc/immobilier/سيدي_عابد,No,Not tagged
www.avito.ma/fr/casablanca/matériels_professionnels/scie_a_onglet--à_vendre,No,Not tagged
www.avito.ma/fr/mohammedia/meubles_et_décoration/table--à_vendre,No,Not tagged
www.avito.ma/fr/agadir/ventes_immobilieres/suisse--à_vendre,No,Not tagged
www.avito.ma/fr/tanger/dressing_sur_mesure--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/multiprises,No,Not tagged
www.avito.ma/fr/tétouan/appartements-à_vendre,No,Not tagged
www.avito.ma/fr/maroc/motos/malagoti--à_vendre,No,Not tagged
www.avito.ma/fr/sidi_bouzid/maisons_et_villas-à_louer,No,Not tagged
www.avito.ma/fr/maroc/versace_chain_reaction--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/machine_a_café_mise--à_vendre,No,Not tagged
www.avito.ma/ar/المغرب/ثيوت--للبيع,No,Not tagged
www.avito.ma/fr/maroc/magasins_et_commerces/particulier--à_vendre,No,Not tagged
www.avito.ma/fr/bouskoura/appartements/appartement_meublé--à_louer,No,Not tagged
www.avito.ma/fr/rabat/maisons_et_villas-à_louer,No,Not tagged
www.avito.ma/fr/bouznika/autre_secteur/terrains_fermes_et_equipement_professionels--à_vendre,No,Not tagged
www.avito.ma/fr/souk_sebt_ouled_nemma/voitures/Nissan_pick_up_48943157.htm,No,Not tagged
www.avito.ma/fr/maroc/mitsubishi_lancer_2016--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/téléphones/bank_cross_x--à_vendre,No,Not tagged
www.avito.ma/vi/54734046.htm,No,Not tagged
www.avito.ma/fr/tan-Tan/véhicules,No,Not tagged
www.avito.ma/fr/maroc/ticket_final_maroc_futsal--à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/325/details,No,Not tagged
www.avito.ma/adminapp/stores/1313/details,No,Not tagged
www.avito.ma/fr/maroc/terrains_et_fermes/ifrane--à_vendre,No,Not tagged
www.avito.ma/vi/45696663.htm,No,Not tagged
www.avito.ma/fr/manar/bateaux/bateau_peche_et_plaissance_48242870.htm,No,Not tagged
www.avito.ma/fr/maroc/appartements/appartement_a_errahma_vendre,No,Not tagged
www.avito.ma/sp/hyundai/elantra,No,Not tagged
www.avito.ma/vi/55216054.htm,No,Not tagged
www.avito.ma/fr/rabat/locations_immobilieres/hay_nahda--à_louer,No,Not tagged
www.avito.ma/vi/53918197.htm,No,Not tagged
www.avito.ma/fr/maroc/ventes_immobilieres/guercif--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/hanaya--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/mercedes_amg_gtr--à_vendre,No,Not tagged
www.avito.ma/fr/casablanca/electorménager_et_vaisselle/refrigerateur--à_vendre,No,Not tagged
www.avito.ma/sp/land-rover/range-rover-evoque,No,Not tagged
www.avito.ma/auto/neuf/volkswagen/crafter/,No,Not tagged
www.avito.ma/fr/maroc/ordinateurs_portables/macbook_pro_i7_4th--à_vendre,No,Not tagged
www.avito.ma/auto/neuf/hyundai/veloster/,No,Not tagged
www.avito.ma/fr/maroc/grue_à_vendre--à_vendre,No,Not tagged
www.avito.ma/fr/Oujda,No,Not tagged
www.avito.ma/fr/maroc/chefchaouen,No,Not tagged
www.avito.ma/fr/maroc/villas_riad/mediouna--à_vendre,No,Not tagged
www.avito.ma/fr/maroc/ridmi_note_11_s--à_vendre,No,Not tagged
www.avito.ma/vi/55188189.htm,No,Not tagged
www.avito.ma/ar/السويهلة/دكاكين_محلات_تجارية/الكراء,No,Not tagged
www.avito.ma/fr/derb_ghallef/téléphones/Google_Pixel_8_Pro_256_12_Bleu__54006256.htm,No,Not tagged
www.avito.ma/fr/béni_mellal/voitures_d_occasion-à_vendre,No,Not tagged
www.avito.ma/adminapp/stores/5501/details,No,Not tagged
www.avito.ma/adminapp/stores/5168/details,No,Not tagged
www.avito.ma/fr/salé/hay_chmaou/maisons_et_villas,No,Not tagged
www.avito.ma/fr/maroc/motos/200_raptor--à_vendre,No,Not tagged
